日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-07-29,4.0,4.087,3.925,3.929,445867,177650942.0,4.94,37.16
2025-07-30,3.914,4.022,3.878,3.966,169302,66574476.0,3.67,14.11
2025-07-31,3.951,4.07,3.951,4.061,103835,41731326.0,3.0,8.65
2025-08-01,4.052,4.063,4.021,4.05,33420,13498633.0,1.03,2.79
2025-08-04,4.04,4.063,4.023,4.047,70847,28675410.0,0.99,5.9
2025-08-05,4.027,4.08,4.022,4.064,38275,15520793.0,1.43,3.19
2025-08-06,4.064,4.08,4.045,4.07,28882,11740289.0,0.86,2.41
2025-08-07,4.067,4.117,4.046,4.113,45282,18515155.0,1.74,3.77
2025-08-08,4.12,4.128,4.08,4.116,16128,6633378.0,1.17,1.34
2025-08-11,4.128,4.129,4.09,4.11,18230,7492899.0,0.95,1.52
2025-08-12,4.099,4.13,4.09,4.111,9856,4052842.0,0.97,0.82
2025-08-13,4.1,4.149,4.074,4.129,19097,7843444.0,1.82,1.59
2025-08-14,4.125,4.146,4.092,4.131,6274,2588986.0,1.31,0.52
2025-08-15,4.115,4.146,4.1,4.1,11924,4909211.0,1.11,0.99
2025-08-18,4.098,4.098,4.005,4.01,21641,8703586.0,2.27,1.8
2025-08-19,4.01,4.064,3.931,4.047,19610,7806064.0,3.32,1.63
2025-08-20,4.025,4.139,4.025,4.043,16918,6928391.0,2.82,1.41
2025-08-21,4.011,4.128,4.011,4.07,8524,3469348.0,2.89,0.71
2025-08-22,4.079,4.085,4.05,4.067,2236,909649.0,0.86,0.19
2025-08-25,4.051,4.115,4.036,4.112,11932,4887878.0,1.94,0.99
2025-08-26,4.116,4.138,4.087,4.125,8547,3526957.0,1.24,0.71
2025-08-27,4.103,4.13,4.1,4.116,2105,864501.0,0.73,0.18
2025-08-28,4.13,4.13,4.097,4.104,6575,2698899.0,0.8,0.55
2025-08-29,4.079,4.103,4.075,4.091,6199,2536166.0,0.68,0.52
2025-09-01,4.075,4.139,4.075,4.082,5549,2265056.0,1.56,0.46
2025-09-02,4.075,4.13,4.075,4.121,8364,3442846.0,1.35,0.7
2025-09-03,4.081,4.146,4.081,4.14,7062,2909647.0,1.58,0.59
2025-09-04,4.118,4.153,4.116,4.144,4363,1808145.0,0.89,0.36
2025-09-05,4.145,4.176,4.1,4.1,2566,1057176.0,1.83,0.21
2025-09-08,4.082,4.123,4.075,4.116,7692,3156703.0,1.17,0.64
2025-09-09,4.116,4.118,4.081,4.117,4572,1880696.0,0.9,0.38
2025-09-10,4.092,4.104,4.09,4.104,4441,1820145.0,0.34,0.37
2025-09-11,4.088,4.125,4.088,4.119,3517,1444667.0,0.9,0.29
2025-09-12,4.102,4.143,4.094,4.143,2311,952859.0,1.19,0.19
2025-09-15,4.143,4.147,4.125,4.145,1455,602696.0,0.53,0.12
2025-09-16,4.147,4.147,4.106,4.106,2089,860328.0,0.99,0.17
2025-09-17,4.106,4.118,4.099,4.118,2064,848566.0,0.46,0.17
2025-09-18,4.1,4.15,4.1,4.14,2493,1027712.0,1.21,0.21
2025-09-19,4.115,4.149,4.11,4.136,7413,3066084.0,0.94,0.62
2025-09-22,4.136,4.136,4.099,4.12,2515,1039042.0,0.89,0.21
2025-09-23,4.1,4.144,4.1,4.123,3835,1580482.0,1.07,0.32
2025-09-24,4.115,4.128,4.099,4.124,12819,5275355.0,0.7,1.07
2025-09-25,4.122,4.145,4.122,4.132,3897,1609832.0,0.56,0.32
2025-09-26,4.145,4.147,4.131,4.134,2017,833814.0,0.39,0.17
2025-09-29,4.138,4.147,4.094,4.132,7501,3089184.0,1.28,0.63
